Timestamp(s) KE PE
5.1 0.23057535 15.646056
5.11 0.1568908 15.719668
5.12 0.097650803 15.778836
5.13 0.052855371 15.823559
5.14 0.022504501 15.853838
5.15 0.0065981917 15.869672
5.16 0.005136444 15.871062
5.17 0.018119258 15.858007
5.18 0.045546633 15.830507
5.19 0.08741857 15.788563
5.2 0.14373507 15.732174
5.21 0.21449613 15.661341
5.22 0.29970175 15.576063
5.23 0.39935193 15.476341
5.24 0.51344667 15.362174
5.25 0.64198598 15.233562
5.26 0.78496985 15.090506
5.27 0.94239827 14.933005
5.28 1.1142713 14.76106
5.29 1.3005888 14.57467
5.3 1.5013509 14.373836
5.31 1.7165576 14.158557
5.32 1.9462088 13.928834
5.33 2.1903046 13.684666
5.34 2.448845 13.426053
5.35 2.7218299 13.152996
5.36 3.0092594 12.865494
5.37 3.3111334 12.563548
5.38 3.627452 12.247157
5.39 3.9582152 11.916322
5.4 4.3034229 11.571042
5.41 4.6630752 11.211317
5.42 5.0371721 10.837148
5.43 5.4257135 10.448535
5.44 5.8286994 10.045476
5.45 6.24613 9.6279737
5.46 6.6780051 9.1960264
5.47 7.1243247 8.7496345
5.48 7.5850889 8.288798
5.49 8.0602977 7.813517
5.5 8.5499511 7.3237915
5.51 9.054049 6.8196214
5.52 9.5725914 6.3010067
5.53 10.105578 5.7679474
5.54 10.65301 5.2204436
5.55 11.214886 4.6584952
5.56 11.791207 4.0821023
5.57 12.381972 3.4912648
5.58 12.987182 2.8859828
5.59 13.107706 2.7573003
5.6 12.49966 3.365274
5.61 11.906059 3.9588031
5.62 11.326902 4.5378876
5.63 10.76219 5.1025276
5.64 10.211922 5.652723
5.65 9.6760988 6.1884739
5.66 9.1547203 6.7097802
5.67 8.6477863 7.2166419
5.68 8.155297 7.7090591
5.69 7.6772521 8.1870317
5.7 7.2136519 8.6505597
5.71 6.7644961 9.0996432
5.72 6.329785 9.5342821
5.73 5.9095184 9.9544765
5.74 5.5036964 10.360226
5.75 5.1123189 10.751532
5.76 4.735386 11.128392
5.77 4.3728977 11.490808
5.78 4.0248539 11.83878
5.79 3.6912547 12.172307
5.8 3.3721 12.491389
5.81 3.0673899 12.796027
5.82 2.7771244 13.086221
5.83 2.5013034 13.361969
5.84 2.239927 13.623273
5.85 1.9929951 13.870133
5.86 1.7605079 14.102548
5.87 1.5424651 14.320519
5.88 1.338867 14.524045
5.89 1.1497134 14.713126
5.9 0.97500431 14.887763
5.91 0.81473983 15.047955
5.92 0.66891991 15.193703
5.93 0.53754455 15.325006
5.94 0.42061375 15.441864
5.95 0.31812752 15.544278
5.96 0.23008584 15.632248
5.97 0.15648873 15.705773
5.98 0.097336176 15.764853
5.99 0.052628185 15.809489
6 0.022364755 15.83968
6.01 0.0065458871 15.855427
6.02 0.0051715804 15.856729
6.03 0.018241835 15.843586
6.04 0.045756651 15.815999
6.05 0.087716029 15.773968
6.06 0.14411997 15.717492
6.07 0.21496847 15.646571
6.08 0.30026153 15.561206
6.09 0.39999915 15.461396
6.1 0.51418134 15.347141
6.11 0.64280808 15.218442
6.12 0.78587939 15.075299
6.13 0.94339526 14.917711
6.14 1.1153557 14.745678
6.15 1.3017607 14.559201
6.16 1.5026102 14.358279
6.17 1.7179043 14.142913
6.18 1.947643 13.913102
6.19 2.1918263 13.668846
6.2 2.4504541 13.410146
6.21 2.7235264 13.137002
6.22 3.0110433 12.849413
